ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-02-06 19:31:55-05:00,3159990,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Long(),17054884219229300,1715000000,10053645774,10057895485,1715000,0,0,0,False,10,10069767700
2022-02-06 19:31:56-05:00,3159991,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),4958409011714537,498742239,10057895485,10059131519,498742,0,0,0,False,10,10074036000
2022-02-06 19:31:59-05:00,3159992,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,DRKUb36Rh99NQ4CCEsZSBBfspz2vdNwM1qPY6P2jNrbu,PositionDirection.Long(),199726355081079,1099000000,550222137083,550283603651,1099000,0,0,0,False,3,550228575291
2022-02-06 19:32:01-05:00,3159993,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,DRKUb36Rh99NQ4CCEsZSBBfspz2vdNwM1qPY6P2jNrbu,PositionDirection.Long(),149916407910615,825000000,550283603651,550329747779,825000,0,0,0,False,3,550274714805
2022-02-06 19:32:01-05:00,3159994,DXgo3PMFzUTdvW8xrj7w8Ks7L9XGK7VRVbM748pisja3,5MXwPXQC9jbFQf51EDa9sbtiuQhGWESmrLNhud4P7hBB,PositionDirection.Short(),1431200853778,16250389,1135438051776,1135436641609,16250,0,0,0,False,0,1135550185273
2022-02-06 19:32:04-05:00,3159995,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Long(),8518722821530411,857000000,10059131519,10061255602,857000,0,0,0,False,10,10071848600
2022-02-06 19:32:05-05:00,3159996,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),12433713947327242,1251180540,10061255602,10064357068,1251180,0,0,0,False,10,10070871100
2022-02-06 19:32:05-05:00,3159997,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),33260898803831,3347497,10064357068,10064365367,3347,0,0,0,False,10,10070871100
2022-02-06 19:32:05-05:00,3159998,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Long(),13163113289461151,1325000000,10064365367,10067650342,1325000,0,0,0,False,10,10070871100
2022-02-06 19:32:05-05:00,3159999,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Long(),3088983822668012,311000000,10067650342,10068421459,311000,0,0,0,False,10,10070871100
