,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
94,2jGnPbMEYoJm3uYvp1G61Hi9xWqt1eEjcSi5HPP1jY8A,EdcpJEher8rqv6qmMEDcvA5ry8mC1FQt3s6g5E7tQYLy,,,,,,
95,3Bj3n9ozDYidrvCxqRYQkUhBdNzdoeoPQikrsJ8Dokr7,A5QcbEASk6NfnZ6J93dNHmU8DbAn2uykdZJbKgMmhVu4,,,,,,
96,CqVCzVJU2AoUMi8TFagiTFUddduyJJfaXyzBwnftvh9K,7xcVhKHmUy5PAj8grc1mt24gdeQiVKa1DF6NR8gvt55P,,,,,,
97,GorHUHu1Yox6UDZLmFg5MAv3nsd1QgVvHyuu827UmgHx,4VZZ35kmLaQUB45FGeatx6UANNrH1HRMYRZXVGR5YgSq,,,,,,
98,9tiV6iFfdxQHGZmUtkv1SwYag2sSZBogNnCziYQu5K8C,9UeHg5HvpK1GeRbTWLK1uuW2Wjk6x3reeqWMBQWAh7Pq,,,,,,
99,A2EPmTs73YiS15ZKcjom55huNYaJY3WeP7NBDar1VE3R,8KzrbHiup39X7Zw9grvh7gS9ZcA1zuhLGqgYguSjwnD6,0.0,7.0,20199.82,624.9669909111133,2.10265987818148,32.32141904095051
100,A2EPmTs73YiS15ZKcjom55huNYaJY3WeP7NBDar1VE3R,8KzrbHiup39X7Zw9grvh7gS9ZcA1zuhLGqgYguSjwnD6,2.0,3.0,0.18,0.0029073813952,-0.11633599829657,61.91138193880398
101,E4NYpYgHTvSG6LqH2bBV9Q1XJ6pAzCp9FLSKMzJmYRrQ,2NHv3c4ufYGo3xNr6KXymAZJdpfURrNiCKbXZ7s82Vwo,,,,,,
102,BBqLfNRh6Sd1ptfoofzU3qUqvLQkdaKDZrrFW5X4GMUU,34m2rTwziMk49kHWz4RkxHEpZ8YHnchH3DXjxtyFrNYM,,,,,,
103,6QJM5fxtS6xSBG98uswG8gAyrULEedB6Abmjk5gQhiBe,BwLddT3pPu73J2k1E3omaVXofausJ4xEfzVoeLPF8jjY,,,,,,
104,C7sLfkmT8WAT2JTtpRHTpK8mqnj9WSnE8QWYzPqNrZ4y,55Vf5FKtVVHVHhw239AuZ9iwUQtweq1SvNUVWmb6EFGb,,,,,,
105,5sYMr2rRQnFKTkjXsZik1ue7d1Vj5SBwCwdF8WAWS3uj,2LDkWB7ZnWREitrdGucbGmLxNGvL2eXr3bvy6M1sy1gw,,,,,,
106,BVWuNoaVg4d885qXFgWNwCUYgLYfXee761CXHZSxmzHe,GZwYKfJZ1jSSs9UB8GXikRtP9b4wzEgYsXbHQRBxmZDK,,,,,,
107,C7jev1gjqKSAVxDZ8zUmhi2cK15uhhwz7sH7SzDvVp6F,5TZFwS2fsrea1kqF62sFeoHEEvkJ38oSMN9QFXT6i3aH,,,,,,
108,JB5nWXZZGts4zKMgNrkDzp5n2MKkBKSMDyv3GN7PTaLN,EccvrS3KZ6Cr8Xm9cY2Vc3HjpzrgrUrsvdrCoyJ3sXoD,,,,,,
109,GimL4uKGvg3FFmFQSWzAcjstv3Vmk5NMgDGMKTuXYVpB,4uygLJDk9DFCifJ56YwMrEsvd3oQNq8tYSLnMCyWorS6,0.0,2.0,5.12,0.0012705144891,332.06788174386355,4029.8635268826233
110,9wMc6uyViRgsc69rKxJn5dZWW12Xph8mbUfoN6vyH9La,D3BLJQ7LmQAfELVmvMsE5FhQJzQZ7yFLrRMMDWdhFSyV,0.0,0.0,1.0,0.0050922012916,1.72080057197025,196.37872557190173
111,5gqE2H32f2UjWKen3TSGfC8iZYAXnKXoRXtghVFMGz6,3pLXU9sRs9PeLjtqRH3FJoFZxvzKQqsFTjHm5rzNxDz6,,,,,,
112,41AtproHZHK5DEkr94qxacZwNsETBRfgU5uJNKsXmV5q,4nNvHebgmsMuwoySLzzmjmnRwjgHzpR3QUJMztcT47ye,,,,,,
